,geolocation_state,price,order_item_id
0,AC,1666722.27,10405.0
1,AL,7321333.16,39979.0
2,AM,844482.13,7735.0
3,AP,998658.63,6469.0
4,BA,66119380.88,522926.0
5,CE,11435220.05,89319.0
6,DF,13506200.91,127390.0
7,ES,44739979.4,418465.0
8,GO,21518893.36,207398.0
9,MA,9212343.1,71360.0
10,MG,411043809.68,4096888.0
11,MS,10206617.99,86812.0
12,MT,24075965.59,204834.0
13,PA,15931006.05,110267.0
14,PB,6756156.54,40340.0
15,PE,17872683.17,150605.0
16,PI,4726892.91,31560.0
17,PR,88049774.58,923744.0
18,RJ,465187718.93,4293586.0
19,RN,4015488.67,28700.0
20,RO,3661306.6,28445.0
21,RR,360027.85,2735.0
22,RS,116413728.7,1180564.0
23,SC,81764906.47,784636.0
24,SE,4075809.57,31907.0
25,SP,747502400.89,8119041.0
26,TO,4074280.75,26011.0
